timestamp,distance,data source
2026-04-03T06:46:00Z,21.50,Charge 6
2026-04-03T06:47:00Z,20.80,Charge 6
2026-04-03T06:48:00Z,27.20,Charge 6
2026-04-03T06:49:00Z,37.30,Charge 6
2026-04-03T06:50:00Z,58.10,Charge 6
2026-04-03T06:51:00Z,61.00,Charge 6
2026-04-03T06:52:00Z,36.60,Charge 6
2026-04-03T06:53:00Z,45.20,Charge 6
2026-04-03T06:54:00Z,38.70,Charge 6
2026-04-03T06:55:00Z,53.10,Charge 6
2026-04-03T06:56:00Z,60.30,Charge 6
2026-04-03T06:57:00Z,12.90,Charge 6
2026-04-03T06:58:00Z,15.00,Charge 6
2026-04-03T06:59:00Z,12.90,Charge 6
2026-04-03T07:00:00Z,23.70,Charge 6
2026-04-03T07:01:00Z,47.40,Charge 6
2026-04-03T07:02:00Z,12.90,Charge 6
2026-04-03T07:03:00Z,40.20,Charge 6
2026-04-03T07:04:00Z,39.50,Charge 6
2026-04-03T07:05:00Z,47.40,Charge 6
2026-04-03T07:06:00Z,27.30,Charge 6
2026-04-03T07:07:00Z,28.00,Charge 6
2026-04-03T07:08:00Z,25.80,Charge 6
2026-04-03T07:09:00Z,27.20,Charge 6
2026-04-03T07:10:00Z,20.10,Charge 6
2026-04-03T07:11:00Z,25.80,Charge 6
2026-04-03T07:12:00Z,12.90,Charge 6
2026-04-03T07:13:00Z,7.10,Charge 6
2026-04-03T07:14:00Z,27.30,Charge 6
2026-04-03T07:15:00Z,16.50,Charge 6
2026-04-03T07:16:00Z,20.10,Charge 6
2026-04-03T07:17:00Z,49.50,Charge 6
2026-04-03T07:18:00Z,26.50,Charge 6
2026-04-03T07:19:00Z,38.00,Charge 6
2026-04-03T07:21:00Z,12.90,Charge 6
2026-04-03T07:22:00Z,30.80,Charge 6
2026-04-03T07:23:00Z,35.90,Charge 6
2026-04-03T07:24:00Z,12.90,Charge 6
2026-04-03T07:25:00Z,10.70,Charge 6
2026-04-03T07:26:00Z,24.40,Charge 6
2026-04-03T07:27:00Z,4.30,Charge 6
2026-04-03T07:28:00Z,28.70,Charge 6
2026-04-03T07:29:00Z,29.40,Charge 6
2026-04-03T07:30:00Z,27.20,Charge 6
2026-04-03T07:31:00Z,34.40,Charge 6
2026-04-03T07:32:00Z,40.90,Charge 6
2026-04-03T07:33:00Z,58.10,Charge 6
2026-04-03T07:34:00Z,49.50,Charge 6
2026-04-03T07:35:00Z,27.30,Charge 6
2026-04-03T07:36:00Z,15.70,Charge 6
2026-04-03T07:37:00Z,17.90,Charge 6
2026-04-03T07:38:00Z,13.60,Charge 6
2026-04-03T07:39:00Z,19.30,Charge 6
2026-04-03T07:54:00Z,20.80,Charge 6
2026-04-03T07:55:00Z,17.20,Charge 6
2026-04-03T07:59:00Z,22.20,Charge 6
2026-04-03T08:00:00Z,29.40,Charge 6
2026-04-03T08:01:00Z,3.50,Charge 6
2026-04-03T08:31:00Z,5.70,Charge 6
2026-04-03T08:32:00Z,5.00,Charge 6
2026-04-03T08:33:00Z,27.30,Charge 6
2026-04-03T08:34:00Z,5.00,Charge 6
2026-04-03T08:36:00Z,17.90,Charge 6
2026-04-03T08:37:00Z,6.40,Charge 6
2026-04-03T08:41:00Z,5.00,Charge 6
2026-04-03T09:10:00Z,7.80,Charge 6
2026-04-03T09:12:00Z,17.90,Charge 6
2026-04-03T09:13:00Z,35.10,Charge 6
2026-04-03T09:14:00Z,26.50,Charge 6
2026-04-03T09:15:00Z,27.20,Charge 6
2026-04-03T09:16:00Z,10.00,Charge 6
2026-04-03T09:18:00Z,7.10,Charge 6
2026-04-03T09:19:00Z,52.40,Charge 6
2026-04-03T09:20:00Z,12.90,Charge 6
2026-04-03T09:25:00Z,4.30,Charge 6
2026-04-03T09:26:00Z,28.70,Charge 6
2026-04-03T09:27:00Z,43.00,Charge 6
2026-04-03T09:28:00Z,6.40,Charge 6
2026-04-03T09:29:00Z,4.30,Charge 6
2026-04-03T09:30:00Z,12.90,Charge 6
2026-04-03T09:31:00Z,49.50,Charge 6
2026-04-03T09:32:00Z,17.90,Charge 6
2026-04-03T09:33:00Z,30.10,Charge 6
2026-04-03T09:34:00Z,50.20,Charge 6
2026-04-03T09:35:00Z,50.20,Charge 6
2026-04-03T09:36:00Z,55.30,Charge 6
2026-04-03T09:37:00Z,36.60,Charge 6
2026-04-03T09:38:00Z,58.20,Charge 6
2026-04-03T09:40:00Z,26.50,Charge 6
2026-04-03T09:41:00Z,33.70,Charge 6
2026-04-03T09:42:00Z,40.90,Charge 6
2026-04-03T09:43:00Z,40.20,Charge 6
2026-04-03T09:44:00Z,24.40,Charge 6
2026-04-03T09:45:00Z,46.70,Charge 6
2026-04-03T09:46:00Z,26.50,Charge 6
2026-04-03T09:47:00Z,54.60,Charge 6
2026-04-03T09:48:00Z,35.20,Charge 6
2026-04-03T09:49:00Z,47.40,Charge 6
2026-04-03T09:50:00Z,41.60,Charge 6
2026-04-03T09:51:00Z,53.10,Charge 6
2026-04-03T09:52:00Z,6.40,Charge 6
2026-04-03T09:53:00Z,12.90,Charge 6
2026-04-03T09:54:00Z,4.30,Charge 6
2026-04-03T09:58:00Z,45.20,Charge 6
2026-04-03T09:59:00Z,40.20,Charge 6
2026-04-03T10:00:00Z,33.00,Charge 6
