timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2026-04-06T04:20:00Z,11.2,0.0,Fitbit App
2026-04-06T04:25:00Z,11.1,0.0,Fitbit App
2026-04-06T04:30:00Z,10.1,0.0,Fitbit App
2026-04-06T04:35:00Z,11.3,0.0,Fitbit App
2026-04-06T04:40:00Z,10.6,0.0,Fitbit App
2026-04-06T04:45:00Z,10.1,0.0,Fitbit App
2026-04-06T04:50:00Z,10.5,0.0,Fitbit App
2026-04-06T04:55:00Z,9.1,0.0,Fitbit App
2026-04-06T05:00:00Z,10.8,0.0,Fitbit App
2026-04-06T05:35:00Z,15.5,0.0,Fitbit App
2026-04-06T05:40:00Z,11.4,0.0,Fitbit App
2026-04-06T05:45:00Z,9.1,0.0,Fitbit App
2026-04-06T05:50:00Z,8.7,0.0,Fitbit App
2026-04-06T05:55:00Z,8.4,0.0,Fitbit App
2026-04-06T06:00:00Z,7.6,0.0,Fitbit App
2026-04-06T06:05:00Z,8.1,0.0,Fitbit App
2026-04-06T06:10:00Z,11.8,0.0,Fitbit App
2026-04-06T06:15:00Z,9.3,0.0,Fitbit App
2026-04-06T06:20:00Z,8.9,0.0,Fitbit App
2026-04-06T06:25:00Z,8.6,0.0,Fitbit App
2026-04-06T06:30:00Z,9.9,0.0,Fitbit App
2026-04-06T06:35:00Z,8.9,0.0,Fitbit App
2026-04-06T06:40:00Z,9.2,0.0,Fitbit App
2026-04-06T06:45:00Z,12.0,0.0,Fitbit App
2026-04-06T06:50:00Z,12.5,0.0,Fitbit App
2026-04-06T06:55:00Z,11.9,0.0,Fitbit App
2026-04-06T07:00:00Z,10.8,0.0,Fitbit App
2026-04-06T07:05:00Z,10.5,0.0,Fitbit App
2026-04-06T07:10:00Z,8.7,0.0,Fitbit App
2026-04-06T07:15:00Z,9.3,0.0,Fitbit App
2026-04-06T07:20:00Z,8.0,0.0,Fitbit App
2026-04-06T23:45:00Z,15.7,0.0,Fitbit App
2026-04-06T23:50:00Z,18.4,0.0,Fitbit App
2026-04-06T23:55:00Z,17.8,0.0,Fitbit App
2026-04-07T00:00:00Z,19.9,0.0,Fitbit App
2026-04-07T00:05:00Z,18.6,0.0,Fitbit App
2026-04-07T00:10:00Z,18.0,0.0,Fitbit App
2026-04-07T00:15:00Z,15.2,0.0,Fitbit App
2026-04-07T00:20:00Z,16.9,0.0,Fitbit App
2026-04-07T00:25:00Z,17.4,0.0,Fitbit App
2026-04-07T00:30:00Z,17.3,0.0,Fitbit App
2026-04-07T00:35:00Z,13.6,0.0,Fitbit App
2026-04-07T00:40:00Z,11.2,0.0,Fitbit App
2026-04-07T00:50:00Z,13.9,0.0,Fitbit App
2026-04-07T00:55:00Z,9.7,0.0,Fitbit App
2026-04-07T01:00:00Z,10.9,0.0,Fitbit App
2026-04-07T01:05:00Z,10.7,0.0,Fitbit App
2026-04-07T01:10:00Z,10.6,0.0,Fitbit App
2026-04-07T01:15:00Z,13.3,0.0,Fitbit App
2026-04-07T01:20:00Z,12.0,0.0,Fitbit App
2026-04-07T01:25:00Z,9.9,0.0,Fitbit App
2026-04-07T01:30:00Z,8.9,0.0,Fitbit App
2026-04-07T01:35:00Z,8.6,0.0,Fitbit App
2026-04-07T01:40:00Z,9.3,0.0,Fitbit App
2026-04-07T01:45:00Z,8.7,0.0,Fitbit App
2026-04-07T01:50:00Z,8.5,0.0,Fitbit App
2026-04-07T01:55:00Z,8.9,0.0,Fitbit App
2026-04-07T02:00:00Z,7.9,0.0,Fitbit App
2026-04-07T02:05:00Z,10.2,0.0,Fitbit App
2026-04-07T02:30:00Z,18.6,0.0,Fitbit App
2026-04-07T02:35:00Z,20.4,0.0,Fitbit App
2026-04-07T02:40:00Z,23.0,0.0,Fitbit App
