timestamp,temperature celsius,data source
2026-04-13T06:27:00Z,31.0,Charge 6
2026-04-13T06:28:00Z,30.9,Charge 6
2026-04-13T06:29:00Z,30.9,Charge 6
2026-04-13T06:30:00Z,30.9,Charge 6
2026-04-13T06:31:00Z,30.8,Charge 6
2026-04-13T06:32:00Z,30.8,Charge 6
2026-04-13T06:33:00Z,30.8,Charge 6
2026-04-13T06:34:00Z,30.8,Charge 6
2026-04-13T06:35:00Z,30.7,Charge 6
2026-04-13T06:36:00Z,30.6,Charge 6
2026-04-13T06:37:00Z,30.7,Charge 6
2026-04-13T06:38:00Z,30.7,Charge 6
2026-04-13T06:39:00Z,30.6,Charge 6
2026-04-13T06:40:00Z,30.5,Charge 6
2026-04-13T06:41:00Z,30.4,Charge 6
2026-04-13T06:42:00Z,30.4,Charge 6
2026-04-13T06:43:00Z,30.3,Charge 6
2026-04-13T06:44:00Z,30.3,Charge 6
2026-04-13T06:45:00Z,30.3,Charge 6
2026-04-13T06:46:00Z,30.4,Charge 6
2026-04-13T06:47:00Z,30.3,Charge 6
2026-04-13T06:48:00Z,30.2,Charge 6
2026-04-13T06:49:00Z,29.9,Charge 6
2026-04-13T06:50:00Z,29.8,Charge 6
2026-04-13T06:51:00Z,29.7,Charge 6
2026-04-13T06:52:00Z,29.6,Charge 6
2026-04-13T06:53:00Z,29.5,Charge 6
2026-04-13T06:54:00Z,29.4,Charge 6
2026-04-13T06:55:00Z,29.4,Charge 6
