timestamp,steps,distance millimeters,altitude gain millimeters,data source
2026-04-11T08:39:46Z,2,1270,0,Charge 6
2026-04-11T08:39:47Z,1,1270,0,Charge 6
2026-04-11T08:39:48Z,2,1280,0,Charge 6
2026-04-11T08:39:49Z,2,1270,0,Charge 6
2026-04-11T08:39:50Z,1,1270,0,Charge 6
2026-04-11T08:39:51Z,2,1260,0,Charge 6
2026-04-11T08:39:52Z,2,1270,0,Charge 6
2026-04-11T08:39:53Z,2,1260,0,Charge 6
2026-04-11T08:39:54Z,1,1270,0,Charge 6
2026-04-11T08:39:55Z,2,1260,0,Charge 6
2026-04-11T08:39:56Z,2,1270,0,Charge 6
2026-04-11T08:39:57Z,2,1270,0,Charge 6
2026-04-11T08:39:58Z,1,1260,0,Charge 6
2026-04-11T08:39:59Z,2,1260,0,Charge 6
2026-04-11T08:40:00Z,2,1250,0,Charge 6
2026-04-11T08:40:01Z,2,1260,0,Charge 6
2026-04-11T08:40:02Z,1,1260,0,Charge 6
2026-04-11T08:40:03Z,2,1260,0,Charge 6
2026-04-11T08:40:04Z,2,1250,0,Charge 6
2026-04-11T08:40:05Z,1,1260,0,Charge 6
2026-04-11T08:40:06Z,2,1250,0,Charge 6
2026-04-11T08:40:07Z,2,1250,0,Charge 6
2026-04-11T08:40:08Z,1,1250,0,Charge 6
2026-04-11T08:40:09Z,2,1250,0,Charge 6
2026-04-11T08:40:10Z,1,1240,0,Charge 6
2026-04-11T08:40:11Z,2,1250,0,Charge 6
2026-04-11T08:40:12Z,2,1240,0,Charge 6
2026-04-11T08:40:13Z,1,1230,0,Charge 6
2026-04-11T08:40:14Z,2,1240,0,Charge 6
2026-04-11T08:40:15Z,2,1230,0,Charge 6
2026-04-11T08:40:16Z,2,1240,0,Charge 6
2026-04-11T08:40:17Z,1,1230,0,Charge 6
2026-04-11T08:40:18Z,2,1230,0,Charge 6
2026-04-11T08:40:19Z,1,1240,0,Charge 6
2026-04-11T08:40:20Z,2,1230,0,Charge 6
2026-04-11T08:40:21Z,2,1230,0,Charge 6
2026-04-11T08:40:22Z,1,1230,0,Charge 6
2026-04-11T08:40:23Z,2,1220,0,Charge 6
2026-04-11T08:40:24Z,2,1230,0,Charge 6
2026-04-11T08:40:25Z,1,1230,0,Charge 6
2026-04-11T08:40:26Z,2,1220,0,Charge 6
2026-04-11T08:40:27Z,1,1220,0,Charge 6
2026-04-11T08:40:28Z,2,1220,0,Charge 6
2026-04-11T08:40:29Z,2,1220,0,Charge 6
2026-04-11T08:40:30Z,1,1220,0,Charge 6
2026-04-11T08:40:31Z,2,1210,0,Charge 6
2026-04-11T08:40:32Z,2,1220,0,Charge 6
2026-04-11T08:40:33Z,2,1220,0,Charge 6
2026-04-11T08:40:34Z,1,1220,0,Charge 6
2026-04-11T08:40:35Z,2,1210,0,Charge 6
2026-04-11T08:40:36Z,2,1220,0,Charge 6
2026-04-11T08:40:37Z,1,1220,0,Charge 6
2026-04-11T08:40:38Z,2,1220,0,Charge 6
2026-04-11T08:40:39Z,1,1210,0,Charge 6
2026-04-11T08:40:40Z,2,1210,0,Charge 6
2026-04-11T08:40:41Z,2,1210,0,Charge 6
2026-04-11T08:40:42Z,1,1210,0,Charge 6
2026-04-11T08:40:43Z,2,1210,0,Charge 6
2026-04-11T08:40:44Z,2,1210,0,Charge 6
2026-04-11T08:40:45Z,1,1210,0,Charge 6
2026-04-11T08:40:46Z,2,1200,0,Charge 6
2026-04-11T08:40:47Z,2,1210,0,Charge 6
2026-04-11T08:40:48Z,1,1210,0,Charge 6
2026-04-11T08:40:49Z,2,1200,0,Charge 6
2026-04-11T08:40:50Z,2,1200,0,Charge 6
2026-04-11T08:40:51Z,1,1210,0,Charge 6
2026-04-11T08:40:52Z,2,1200,0,Charge 6
2026-04-11T08:40:53Z,2,1200,0,Charge 6
2026-04-11T08:40:54Z,1,1200,0,Charge 6
2026-04-11T08:40:55Z,2,1210,0,Charge 6
2026-04-11T08:40:56Z,1,1200,0,Charge 6
2026-04-11T08:40:57Z,2,1200,0,Charge 6
2026-04-11T08:40:58Z,2,1200,0,Charge 6
2026-04-11T08:40:59Z,2,1200,0,Charge 6
2026-04-11T08:41:00Z,1,1210,0,Charge 6
2026-04-11T08:41:01Z,2,1200,0,Charge 6
2026-04-11T08:41:02Z,2,1200,0,Charge 6
2026-04-11T08:41:03Z,1,1210,0,Charge 6
2026-04-11T08:41:04Z,2,1200,0,Charge 6
2026-04-11T08:41:05Z,2,1200,0,Charge 6
2026-04-11T08:41:06Z,1,1200,0,Charge 6
2026-04-11T08:41:07Z,2,1210,0,Charge 6
2026-04-11T08:41:08Z,2,1200,0,Charge 6
2026-04-11T08:41:09Z,1,1200,0,Charge 6
2026-04-11T08:41:10Z,2,1200,0,Charge 6
2026-04-11T08:41:11Z,2,1200,0,Charge 6
2026-04-11T08:41:12Z,2,1200,0,Charge 6
2026-04-11T08:41:13Z,1,1210,0,Charge 6
2026-04-11T08:41:14Z,2,1190,0,Charge 6
2026-04-11T08:41:15Z,2,1200,0,Charge 6
2026-04-11T08:41:16Z,1,1210,0,Charge 6
2026-04-11T08:41:17Z,2,1190,0,Charge 6
2026-04-11T08:41:18Z,2,1210,0,Charge 6
2026-04-11T08:41:19Z,2,1200,0,Charge 6
2026-04-11T08:41:20Z,1,1200,0,Charge 6
2026-04-11T08:41:21Z,2,1200,0,Charge 6
2026-04-11T08:41:22Z,2,1210,0,Charge 6
2026-04-11T08:41:23Z,1,1200,0,Charge 6
2026-04-11T08:41:24Z,2,1200,0,Charge 6
2026-04-11T08:41:25Z,2,1210,0,Charge 6
2026-04-11T08:41:26Z,1,1200,0,Charge 6
2026-04-11T08:41:27Z,2,1200,0,Charge 6
2026-04-11T08:41:28Z,2,1210,0,Charge 6
2026-04-11T08:41:29Z,1,1200,0,Charge 6
2026-04-11T08:41:30Z,2,1200,0,Charge 6
2026-04-11T08:41:31Z,2,1210,0,Charge 6
2026-04-11T08:41:32Z,2,1200,0,Charge 6
2026-04-11T08:41:33Z,1,1200,0,Charge 6
2026-04-11T08:41:34Z,2,1210,0,Charge 6
2026-04-11T08:41:35Z,2,1210,0,Charge 6
2026-04-11T08:41:36Z,1,1200,0,Charge 6
2026-04-11T08:41:37Z,2,1200,0,Charge 6
2026-04-11T08:41:38Z,2,1210,0,Charge 6
2026-04-11T08:41:39Z,2,1210,0,Charge 6
2026-04-11T08:41:40Z,1,1200,0,Charge 6
2026-04-11T08:41:41Z,2,1210,0,Charge 6
2026-04-11T08:41:42Z,1,1200,0,Charge 6
2026-04-11T08:41:43Z,1,1200,0,Charge 6
2026-04-11T08:41:44Z,2,1210,0,Charge 6
