timestamp,lap time,stroke count,stroke type,data source
2026-04-06T15:12:06Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-06T15:14:06Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-06T16:14:31Z,00:00:48.000,25,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-06T16:15:28Z,00:00:57.000,24,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-06T16:18:38Z,00:00:09.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-06T16:19:46Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-06T16:20:30Z,00:00:21.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-06T16:22:56Z,00:00:14.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-06T16:24:01Z,00:00:07.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-06T16:24:49Z,00:00:28.000,14,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-06T16:25:58Z,00:00:17.000,13,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T05:54:12Z,00:00:37.000,18,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T05:55:09Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T05:57:47Z,00:00:11.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T06:00:22Z,00:00:18.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T06:02:20Z,00:00:11.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T06:04:19Z,00:00:17.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T06:05:26Z,00:00:09.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T06:06:26Z,00:00:35.000,17,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T06:07:53Z,00:00:09.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T06:08:48Z,00:00:20.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T06:09:48Z,00:00:14.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T06:54:07Z,00:00:29.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T07:00:44Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T07:14:29Z,00:00:27.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T07:15:05Z,00:00:36.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T07:18:47Z,00:00:24.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T07:20:19Z,00:00:26.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-07T07:22:12Z,00:00:20.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
