timestamp,steps,data source
2026-03-28T07:20:00Z,92,Charge 6
2026-03-28T07:21:00Z,90,Charge 6
2026-03-28T07:22:00Z,91,Charge 6
2026-03-28T07:23:00Z,88,Charge 6
2026-03-28T07:24:00Z,104,Charge 6
2026-03-28T07:25:00Z,81,Charge 6
2026-03-28T07:26:00Z,75,Charge 6
2026-03-28T07:27:00Z,75,Charge 6
2026-03-28T07:28:00Z,78,Charge 6
2026-03-28T07:29:00Z,78,Charge 6
2026-03-28T07:30:00Z,74,Charge 6
2026-03-28T07:31:00Z,82,Charge 6
2026-03-28T07:32:00Z,79,Charge 6
2026-03-28T07:33:00Z,75,Charge 6
2026-03-28T07:34:00Z,108,Charge 6
2026-03-28T07:35:00Z,78,Charge 6
2026-03-28T07:36:00Z,74,Charge 6
2026-03-28T07:37:00Z,80,Charge 6
2026-03-28T07:38:00Z,77,Charge 6
2026-03-28T07:39:00Z,75,Charge 6
2026-03-28T07:40:00Z,77,Charge 6
2026-03-28T07:41:00Z,72,Charge 6
2026-03-28T07:42:00Z,84,Charge 6
2026-03-28T07:43:00Z,91,Charge 6
2026-03-28T07:44:00Z,88,Charge 6
2026-03-28T07:45:00Z,85,Charge 6
2026-03-28T07:46:00Z,94,Charge 6
2026-03-28T07:47:00Z,75,Charge 6
2026-03-28T07:52:00Z,6,Charge 6
2026-03-28T07:54:00Z,8,Charge 6
2026-03-28T07:55:00Z,24,Charge 6
2026-03-28T07:56:00Z,1,Charge 6
2026-03-28T07:57:00Z,17,Charge 6
2026-03-28T07:58:00Z,7,Charge 6
2026-03-28T08:00:00Z,8,Charge 6
2026-03-28T08:01:00Z,18,Charge 6
2026-03-28T08:02:00Z,16,Charge 6
2026-03-28T08:03:00Z,1,Charge 6
2026-03-28T08:04:00Z,9,Charge 6
2026-03-28T08:05:00Z,8,Charge 6
2026-03-28T08:06:00Z,6,Charge 6
2026-03-28T08:08:00Z,39,Charge 6
2026-03-28T08:09:00Z,11,Charge 6
2026-03-28T08:10:00Z,18,Charge 6
2026-03-28T08:11:00Z,34,Charge 6
2026-03-28T08:12:00Z,28,Charge 6
2026-03-28T08:18:00Z,36,Charge 6
2026-03-28T08:19:00Z,6,Charge 6
2026-03-28T08:32:00Z,8,Charge 6
2026-03-28T08:38:00Z,15,Charge 6
2026-03-28T08:39:00Z,5,Charge 6
2026-03-28T08:45:00Z,22,Charge 6
2026-03-28T08:46:00Z,29,Charge 6
2026-03-28T08:47:00Z,58,Charge 6
2026-03-28T08:48:00Z,20,Charge 6
2026-03-28T08:50:00Z,29,Charge 6
2026-03-28T08:51:00Z,13,Charge 6
2026-03-28T08:53:00Z,8,Charge 6
2026-03-28T09:24:00Z,6,Charge 6
2026-03-28T09:26:00Z,16,Charge 6
2026-03-28T09:27:00Z,5,Charge 6
2026-03-28T09:28:00Z,24,Charge 6
2026-03-28T09:29:00Z,36,Charge 6
2026-03-28T09:30:00Z,51,Charge 6
